Role,Player,Club,Club Name,Squad,Owner,Purchase Price,Initial Quote,Current Quote,Current Gain/Loss,Games,Yellow Cards,Red Cards,Assists,Goals Scored,Penalties Scored,Missed Penalties,Goals Conceded,Penalties Saved,Clean Sheets,FM FP,MV FP,FM GdS,MV GdS,FM Sud,MV Sud
Portiere,Mirante,MIL,Milan,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,1,0,0,6.0,7.0,5.5,6.5,6.0,7.0
Portiere,Sportiello,MIL,Milan,Free Agent,Free Agent,0,1,1,0,2,0,0,0,0,0,0,1,0,1,5.75,6.25,6.0,6.5,6.0,6.5
Portiere,Lamanna,MON,Monza,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Contini,NAP,Napoli,Free Agent,Free Agent,0,1,1,0,2,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Portiere,Boer,ROM,Roma,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Svilar,ROM,Roma,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,3,0,0,3.0,6.0,2.5,5.5,2.5,5.5
Portiere,Fiorillo,SAL,Salernitana,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Sepe,LAZ,Lazio,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Portiere,Pegolo,SAS,Sassuolo,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Portiere,Gemello,TOR,Torino,Free Agent,Free Agent,0,1,1,0,2,0,0,0,0,0,0,2,0,0,4.25,5.25,4.75,5.75,4.5,5.5
Portiere,Popa,TOR,Torino,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Portiere,Padelli,UDI,Udinese,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Berardi A.,VER,Verona,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Perilli,VER,Verona,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Gori,MON,Monza,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Audero,INT,Inter,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Portiere,Borbei,LEC,Lecce,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
