Role;Player;Club;Club Name;Initial Quote
D;Vina;SAS;Sassuolo;4
D;Vogliacco;GEN;Genoa;4
D;Bani;GEN;Genoa;3
D;Bereszynski;EMP;Empoli;3
D;Bisseck;INT;Inter;3
D;Carboni A.;MON;Monza;3
D;Di Pardo;CAG;Cagliari;3
D;Dorgu;LEC;Lecce;3
D;Ferrari G.;SAS;Sassuolo;3
D;Goldaniga;CAG;Cagliari;3
D;Gunter;VER;Verona;3
D;Hefti;GEN;Genoa;3
D;Karsdorp;ROM;Roma;3
D;Kjaer;MIL;Milan;3
D;Lirola;FRO;Frosinone;3
D;Magnani;VER;Verona;3
D;Ostigard;NAP;Napoli;3
D;Sambia;SAL;Salernitana;3
D;Sazonov;TOR;Torino;3
D;Soumaoro;BOL;Bologna;3
D;Touba;LEC;Lecce;3
D;Venuti;LEC;Lecce;3
D;Zanoli;NAP;Napoli;3
D;Zima;TOR;Torino;3
D;Amione;VER;Verona;2
D;Bonifazi;BOL;Bologna;2
D;Cabal;VER;Verona;2
D;Cacace;EMP;Empoli;2
D;Celik;ROM;Roma;2
D;Cittadini;MON;Monza;2
D;Coppola D.;VER;Verona;2
D;Corazza;BOL;Bologna;2
D;Daniliuc;SAL;Salernitana;2
D;De Sciglio;JUV;Juventus;2
D;De Winter;GEN;Genoa;2
D;Ebosse;UDI;Udinese;2
D;Fazio;SAL;Salernitana;2
D;Ferreira J.;UDI;Udinese;2
D;Florenzi;MIL;Milan;2
D;Haps;GEN;Genoa;2
D;Kayode;FIO;Fiorentina;2
D;Kristensen T.;UDI;Udinese;2
D;Kumbulla;ROM;Roma;2
D;Missori;SAS;Sassuolo;2
D;Oyono;FRO;Frosinone;2
D;Rugani;JUV;Juventus;2
D;Walukiewicz;EMP;Empoli;2
D;Amey;BOL;Bologna;1
D;Bettella;MON;Monza;1
D;Bonfanti;ATA;Atalanta;1
D;Bronn;SAL;Salernitana;1
D;Capradossi;CAG;Cagliari;1
D;Carboni F.;MON;Monza;1
D;De Silvestri;BOL;Bologna;1
D;Dermaku;LEC;Lecce;1
D;Gila;LAZ;Lazio;1
D;Guarino;EMP;Empoli;1
D;Guessand A.;UDI;Udinese;1
D;Huijsen;JUV;Juventus;1
D;Kalaj;FRO;Frosinone;1
D;Mateus Lusuardi;FRO;Frosinone;1
D;Matturro;GEN;Genoa;1
D;N'guessan;TOR;Torino;1
D;Okoli;FRO;Frosinone;1
D;Pellegrino;MIL;Milan;1
D;Pereira P.;MON;Monza;1
D;Pierozzi;FIO;Fiorentina;1
D;Smajlovic;LEC;Lecce;1
D;Soppy;TOR;Torino;1
D;Tonelli;EMP;Empoli;1
C;Adli;MIL;Milan;1
C;Adopo;ATA;Atalanta;3
C;Aebischer;BOL;Bologna;6
C;Akpa Akpro;MON;Monza;2
C;Amatucci;FIO;Fiorentina;2
C;Aouar;ROM;Roma;16
C;Arthur Melo;FIO;Fiorentina;8
C;Asllani;INT;Inter;3
C;Badelj;GEN;Genoa;5
C;Baez;FRO;Frosinone;4
C;Bajrami;SAS;Sassuolo;13
C;Baldanzi;EMP;Empoli;14
C;Barak;FIO;Fiorentina;11
C;Barella;INT;Inter;20
C;Barrenechea;FRO;Frosinone;3
C;Basic;LAZ;Lazio;3
C;Belardinelli;EMP;Empoli;1
C;Bennacer;MIL;Milan;9
C;Blin;LEC;Lecce;6
C;Bohinen;SAL;Salernitana;4
C;Boloca;SAS;Sassuolo;5
C;Bonaventura;FIO;Fiorentina;15
C;Bondo;MON;Monza;1
C;Bourabia;FRO;Frosinone;4
C;Bove;ROM;Roma;6
